Epoch,Ego Node,Target Node,Message,Receiver Output,Predicted Label,Correct,Complexity,Information Loss
10,Bob,FBe,[36],"[[2.409089095746497e-13, 5.036885622131115e-13, 0.00041567161679267883, 0.0005154482205398381, 7.674643662551259e-15, 0.000228919496294111, 0.00041567161679267883, 9.266371307423138e-13, 1.01450044111967e-12, 0.25394707918167114, 0.24748404324054718, 1.7572394751873104e-14, 0.2430460900068283, 0.25394707918167114, 1.9669926132337423e-08, 1.6159706905938265e-09, 0.0, 4.726951607914032e-10, 1.6473086228430134e-09, 2.3472227939548443e-16, 8.094386075002799e-16, 2.263327952472899e-17, 3.0685561841855045e-17, 5.255209462040611e-11, 2.4356905381495153e-11, 2.5646501693448332e-15, 7.564398089301375e-15, 6.187721792876065e-15, 1.2725352896262882e-14, 3.7717116517980463e-17, 1.622267940827978e-16, 1.8455577371250323e-15, 3.602127463360949e-15]]",FZy,False,21.553765086125527,36.20979805887371
10,Bob,MZe,[59],"[[1.7477625249839868e-11, 2.6822866844300464e-11, 0.20793500542640686, 0.34811273217201233, 2.147871602797835e-10, 0.23000991344451904, 0.20793500542640686, 3.5756829355054753e-12, 2.837340822361978e-12, 0.00014698668383061886, 0.0007195263169705868, 4.3537418115136006e-10, 0.000377950316760689, 0.00014698668383061886, 0.0025122894439846277, 0.0007377254078164697, 0.0, 0.0004605521389748901, 0.0008952395291998982, 7.903824122967862e-11, 2.2832684354323618e-10, 4.736492773514678e-13, 9.581182418630374e-13, 7.109963462426094e-06, 3.0270905426732497e-06, 2.0170468756613297e-13, 7.835400622595301e-13, 2.849191715892374e-11, 9.237034748199591e-11, 2.313897988145963e-12, 6.6503287252106524e-12, 2.9278851565450736e-10, 5.205928466089915e-10]]",MBy,False,21.553765086125527,36.20979805887371
10,Bob,ZeD,[24],"[[2.846541971861412e-14, 1.7903366099749143e-14, 4.018098354041655e-10, 1.8642232646470802e-08, 7.145455754864471e-11, 7.783012567763592e-10, 4.018098354041655e-10, 9.09517974850187e-15, 9.013941665563657e-15, 9.957017432782322e-10, 1.3385169639335004e-09, 4.7878142422908e-12, 1.72457916003399e-11, 9.957017432782322e-10, 7.152826331235929e-09, 9.104563325479376e-09, 0.0, 8.028463449605283e-10, 7.655540645856718e-10, 5.240885911916848e-07, 7.203325935734028e-07, 0.0034908668603748083, 0.001258611911907792, 8.433154619069683e-09, 1.5097169736577598e-08, 0.346834272146225, 0.2549816966056824, 0.19984064996242523, 0.19359247386455536, 8.959192854263165e-08, 2.47494753580213e-08, 4.0802922152138876e-10, 8.585253619131095e-10]]",ZeD,True,21.553765086125527,36.20979805887371
10,Bob,ZeS,[24],"[[2.846541971861412e-14, 1.7903366099749143e-14, 4.018098354041655e-10, 1.8642232646470802e-08, 7.145455754864471e-11, 7.783012567763592e-10, 4.018098354041655e-10, 9.09517974850187e-15, 9.013941665563657e-15, 9.957017432782322e-10, 1.3385169639335004e-09, 4.7878142422908e-12, 1.72457916003399e-11, 9.957017432782322e-10, 7.152826331235929e-09, 9.104563325479376e-09, 0.0, 8.028463449605283e-10, 7.655540645856718e-10, 5.240885911916848e-07, 7.203325935734028e-07, 0.0034908668603748083, 0.001258611911907792, 8.433154619069683e-09, 1.5097169736577598e-08, 0.346834272146225, 0.2549816966056824, 0.19984064996242523, 0.19359247386455536, 8.959192854263165e-08, 2.47494753580213e-08, 4.0802922152138876e-10, 8.585253619131095e-10]]",ZeD,False,21.553765086125527,36.20979805887371
10,Bob,BeS,[24],"[[2.846541971861412e-14, 1.7903366099749143e-14, 4.018098354041655e-10, 1.8642232646470802e-08, 7.145455754864471e-11, 7.783012567763592e-10, 4.018098354041655e-10, 9.09517974850187e-15, 9.013941665563657e-15, 9.957017432782322e-10, 1.3385169639335004e-09, 4.7878142422908e-12, 1.72457916003399e-11, 9.957017432782322e-10, 7.152826331235929e-09, 9.104563325479376e-09, 0.0, 8.028463449605283e-10, 7.655540645856718e-10, 5.240885911916848e-07, 7.203325935734028e-07, 0.0034908668603748083, 0.001258611911907792, 8.433154619069683e-09, 1.5097169736577598e-08, 0.346834272146225, 0.2549816966056824, 0.19984064996242523, 0.19359247386455536, 8.959192854263165e-08, 2.47494753580213e-08, 4.0802922152138876e-10, 8.585253619131095e-10]]",ZeD,False,21.553765086125527,36.20979805887371
10,Bob,F,[18],"[[0.000657950877211988, 0.0012379721738398075, 1.7067540269977144e-08, 2.4968613843157073e-09, 0.4264319837093353, 9.952104917942961e-09, 1.7067540269977144e-08, 1.9307097431919829e-07, 3.665375913897151e-08, 2.4584943456029684e-12, 1.9363687736584367e-11, 0.5697677135467529, 1.4741374787519135e-11, 2.4584943456029684e-12, 1.794846866687294e-06, 8.309119721161551e-07, 0.0, 3.055287152164965e-06, 6.79086087984615e-06, 2.5883397825055e-07, 2.7218104037274315e-07, 5.1272568413196495e-08, 1.5218111570902693e-07, 0.0009324922575615346, 0.0006882717716507614, 2.186334013137836e-12, 3.082795954276185e-12, 3.0261015915300504e-11, 9.624784302886269e-11, 7.012719152044156e-07, 5.046796331953374e-07, 2.434246368920867e-07, 2.486088419573207e-07]]",F,True,21.553765086125527,36.20979805887371
10,Bob,By,[35],"[[6.413907165797594e-12, 3.5599904101013546e-12, 0.00029801714117638767, 0.001794962678104639, 1.52020390942198e-07, 0.0007378450245596468, 0.00029801714117638767, 1.7757164824921262e-14, 1.1999525281562989e-14, 5.6077643478249714e-14, 2.401012114822132e-12, 6.50511537969578e-08, 1.284261867857961e-13, 5.6077643478249714e-14, 0.25717660784721375, 0.3213309943675995, 0.0, 0.20556102693080902, 0.21200333535671234, 2.7765137744495405e-08, 6.033370425484463e-08, 6.90507984124622e-10, 1.7929623341572665e-09, 0.0005378570058383048, 0.00026067544240504503, 1.3409297543870435e-12, 3.919830605936259e-12, 7.388148315357057e-09, 2.987350100625008e-08, 4.241278994676634e-10, 4.4251971531572565e-10, 8.546829910471843e-09, 1.4879732113115551e-08]]",By,True,21.553765086125527,36.20979805887371
10,Bob,DD,[46],"[[7.914629507332904e-10, 1.822490047764802e-09, 2.220536254871064e-11, 9.890413141255827e-13, 4.277580592315644e-05, 1.2101133463338076e-11, 2.220536254871064e-11, 7.5772608673641e-12, 1.7167312493446274e-12, 1.7439760403761394e-15, 1.143309232687741e-14, 0.00023352693824563175, 6.666400016643731e-14, 1.7439760403761394e-15, 7.016026648543061e-10, 2.91359758541887e-09, 0.0, 6.350716574843318e-08, 7.785603628462923e-08, 0.16723299026489258, 0.15052899718284607, 0.0001812802947824821, 0.0005634580738842487, 7.702928269281983e-05, 0.00016413679986726493, 2.2662809129325723e-11, 6.059355794896248e-11, 1.1242794889509966e-10, 2.9830143910558604e-10, 0.162690669298172, 0.17381753027439117, 0.168437197804451, 0.17584313452243805]]",SS,False,21.553765086125527,36.20979805887371
10,Bob,Be,[35],"[[6.413907165797594e-12, 3.5599904101013546e-12, 0.00029801714117638767, 0.001794962678104639, 1.52020390942198e-07, 0.0007378450245596468, 0.00029801714117638767, 1.7757164824921262e-14, 1.1999525281562989e-14, 5.6077643478249714e-14, 2.401012114822132e-12, 6.50511537969578e-08, 1.284261867857961e-13, 5.6077643478249714e-14, 0.25717660784721375, 0.3213309943675995, 0.0, 0.20556102693080902, 0.21200333535671234, 2.7765137744495405e-08, 6.033370425484463e-08, 6.90507984124622e-10, 1.7929623341572665e-09, 0.0005378570058383048, 0.00026067544240504503, 1.3409297543870435e-12, 3.919830605936259e-12, 7.388148315357057e-09, 2.987350100625008e-08, 4.241278994676634e-10, 4.4251971531572565e-10, 8.546829910471843e-09, 1.4879732113115551e-08]]",By,False,21.553765086125527,36.20979805887371
10,Bob,FBy,[36],"[[2.409089095746497e-13, 5.036885622131115e-13, 0.00041567161679267883, 0.0005154482205398381, 7.674643662551259e-15, 0.000228919496294111, 0.00041567161679267883, 9.266371307423138e-13, 1.01450044111967e-12, 0.25394707918167114, 0.24748404324054718, 1.7572394751873104e-14, 0.2430460900068283, 0.25394707918167114, 1.9669926132337423e-08, 1.6159706905938265e-09, 0.0, 4.726951607914032e-10, 1.6473086228430134e-09, 2.3472227939548443e-16, 8.094386075002799e-16, 2.263327952472899e-17, 3.0685561841855045e-17, 5.255209462040611e-11, 2.4356905381495153e-11, 2.5646501693448332e-15, 7.564398089301375e-15, 6.187721792876065e-15, 1.2725352896262882e-14, 3.7717116517980463e-17, 1.622267940827978e-16, 1.8455577371250323e-15, 3.602127463360949e-15]]",FZy,False,21.553765086125527,36.20979805887371
10,Bob,FF,[68],"[[0.011665734462440014, 0.0071296654641628265, 7.339064252154248e-12, 1.1231274157225135e-12, 1.548628958403242e-08, 4.530902129179504e-12, 7.339064252154248e-12, 0.4264903962612152, 0.5547142028808594, 8.977983356750485e-10, 5.005594827522941e-10, 1.8006263147185564e-08, 4.055558999738196e-09, 8.977983356750485e-10, 1.6875936412197312e-12, 3.5655064512842005e-13, 0.0, 7.735051206318733e-13, 1.0055980570813916e-12, 1.7359173953857416e-16, 1.1871980701491771e-16, 8.436015373756344e-17, 1.5255269844330842e-16, 3.930249680393627e-13, 3.1125484676632065e-13, 7.705236375023716e-16, 6.72667932809332e-16, 5.159235859474173e-16, 5.138240030294107e-16, 3.2377080549472574e-15, 4.7531308892316635e-15, 8.885777957347556e-15, 5.540293853708135e-15]]",FF,True,21.553765086125527,36.20979805887371
10,Bob,FM,[68],"[[0.011665734462440014, 0.0071296654641628265, 7.339064252154248e-12, 1.1231274157225135e-12, 1.548628958403242e-08, 4.530902129179504e-12, 7.339064252154248e-12, 0.4264903962612152, 0.5547142028808594, 8.977983356750485e-10, 5.005594827522941e-10, 1.8006263147185564e-08, 4.055558999738196e-09, 8.977983356750485e-10, 1.6875936412197312e-12, 3.5655064512842005e-13, 0.0, 7.735051206318733e-13, 1.0055980570813916e-12, 1.7359173953857416e-16, 1.1871980701491771e-16, 8.436015373756344e-17, 1.5255269844330842e-16, 3.930249680393627e-13, 3.1125484676632065e-13, 7.705236375023716e-16, 6.72667932809332e-16, 5.159235859474173e-16, 5.138240030294107e-16, 3.2377080549472574e-15, 4.7531308892316635e-15, 8.885777957347556e-15, 5.540293853708135e-15]]",FF,False,21.553765086125527,36.20979805887371
10,Bob,FZy,[36],"[[2.409089095746497e-13, 5.036885622131115e-13, 0.00041567161679267883, 0.0005154482205398381, 7.674643662551259e-15, 0.000228919496294111, 0.00041567161679267883, 9.266371307423138e-13, 1.01450044111967e-12, 0.25394707918167114, 0.24748404324054718, 1.7572394751873104e-14, 0.2430460900068283, 0.25394707918167114, 1.9669926132337423e-08, 1.6159706905938265e-09, 0.0, 4.726951607914032e-10, 1.6473086228430134e-09, 2.3472227939548443e-16, 8.094386075002799e-16, 2.263327952472899e-17, 3.0685561841855045e-17, 5.255209462040611e-11, 2.4356905381495153e-11, 2.5646501693448332e-15, 7.564398089301375e-15, 6.187721792876065e-15, 1.2725352896262882e-14, 3.7717116517980463e-17, 1.622267940827978e-16, 1.8455577371250323e-15, 3.602127463360949e-15]]",FZy,True,21.553765086125527,36.20979805887371
10,Bob,D,[11],"[[4.588759927592889e-10, 7.746904229222196e-10, 3.955675765610067e-06, 3.677971108118072e-06, 0.0005870552849955857, 3.4129989217035472e-06, 3.955675765610067e-06, 1.7279786542617748e-13, 3.8250239293210336e-14, 1.8085227759812028e-11, 3.184050523241666e-10, 0.0004422143683768809, 2.7357534640448655e-11, 1.8085227759812028e-11, 0.00033258675830438733, 0.00030002041603438556, 0.0, 0.00044174230424687266, 0.0008799629868008196, 0.0002345507382415235, 0.0003887502825818956, 0.00015636192983947694, 0.00026155373780056834, 0.5756530165672302, 0.4198184907436371, 2.6476592029922585e-09, 4.737812808741637e-09, 1.7508723715309316e-07, 6.374591521307593e-07, 4.9594309530220926e-05, 2.7791089451056905e-05, 9.552932169754058e-06, 1.9148594219586812e-05]]",D,True,21.553765086125527,36.20979805887371
10,Bob,MZy,[59],"[[1.7477625249839868e-11, 2.6822866844300464e-11, 0.20793500542640686, 0.34811273217201233, 2.147871602797835e-10, 0.23000991344451904, 0.20793500542640686, 3.5756829355054753e-12, 2.837340822361978e-12, 0.00014698668383061886, 0.0007195263169705868, 4.3537418115136006e-10, 0.000377950316760689, 0.00014698668383061886, 0.0025122894439846277, 0.0007377254078164697, 0.0, 0.0004605521389748901, 0.0008952395291998982, 7.903824122967862e-11, 2.2832684354323618e-10, 4.736492773514678e-13, 9.581182418630374e-13, 7.109963462426094e-06, 3.0270905426732497e-06, 2.0170468756613297e-13, 7.835400622595301e-13, 2.849191715892374e-11, 9.237034748199591e-11, 2.313897988145963e-12, 6.6503287252106524e-12, 2.9278851565450736e-10, 5.205928466089915e-10]]",MBy,False,21.553765086125527,36.20979805887371
10,Bob,ByS,[25],"[[2.9270473713002496e-14, 2.713413972948043e-14, 1.458251786467732e-13, 7.432429238035665e-13, 3.7303689026657594e-08, 1.9923614895476366e-13, 1.458251786467732e-13, 2.2665606404812053e-16, 7.830782539674564e-17, 4.447505308236314e-16, 2.038937900082031e-15, 7.421140146846028e-09, 8.557561292964886e-17, 4.447505308236314e-16, 1.0507678060989178e-10, 3.493242362040405e-10, 0.0, 2.5509283574365327e-10, 2.5606777809272785e-10, 0.0019784567411988974, 0.0024560708552598953, 0.581840991973877, 0.4113251566886902, 4.6620561988675036e-07, 1.3462449715007097e-06, 0.0002544400340411812, 0.0002372175658820197, 0.00020796438911929727, 0.0003646792029030621, 0.0010809653904289007, 0.0002470724284648895, 1.4465362028204254e-06, 3.335689143568743e-06]]",ByD,False,21.553765086125527,36.20979805887371
10,Bob,ZyD,[46],"[[7.914629507332904e-10, 1.822490047764802e-09, 2.220536254871064e-11, 9.890413141255827e-13, 4.277580592315644e-05, 1.2101133463338076e-11, 2.220536254871064e-11, 7.5772608673641e-12, 1.7167312493446274e-12, 1.7439760403761394e-15, 1.143309232687741e-14, 0.00023352693824563175, 6.666400016643731e-14, 1.7439760403761394e-15, 7.016026648543061e-10, 2.91359758541887e-09, 0.0, 6.350716574843318e-08, 7.785603628462923e-08, 0.16723299026489258, 0.15052899718284607, 0.0001812802947824821, 0.0005634580738842487, 7.702928269281983e-05, 0.00016413679986726493, 2.2662809129325723e-11, 6.059355794896248e-11, 1.1242794889509966e-10, 2.9830143910558604e-10, 0.162690669298172, 0.17381753027439117, 0.168437197804451, 0.17584313452243805]]",SS,False,21.553765086125527,36.20979805887371
10,Bob,DS,[46],"[[7.914629507332904e-10, 1.822490047764802e-09, 2.220536254871064e-11, 9.890413141255827e-13, 4.277580592315644e-05, 1.2101133463338076e-11, 2.220536254871064e-11, 7.5772608673641e-12, 1.7167312493446274e-12, 1.7439760403761394e-15, 1.143309232687741e-14, 0.00023352693824563175, 6.666400016643731e-14, 1.7439760403761394e-15, 7.016026648543061e-10, 2.91359758541887e-09, 0.0, 6.350716574843318e-08, 7.785603628462923e-08, 0.16723299026489258, 0.15052899718284607, 0.0001812802947824821, 0.0005634580738842487, 7.702928269281983e-05, 0.00016413679986726493, 2.2662809129325723e-11, 6.059355794896248e-11, 1.1242794889509966e-10, 2.9830143910558604e-10, 0.162690669298172, 0.17381753027439117, 0.168437197804451, 0.17584313452243805]]",SS,False,21.553765086125527,36.20979805887371
10,Bob,BeD,[24],"[[2.846541971861412e-14, 1.7903366099749143e-14, 4.018098354041655e-10, 1.8642232646470802e-08, 7.145455754864471e-11, 7.783012567763592e-10, 4.018098354041655e-10, 9.09517974850187e-15, 9.013941665563657e-15, 9.957017432782322e-10, 1.3385169639335004e-09, 4.7878142422908e-12, 1.72457916003399e-11, 9.957017432782322e-10, 7.152826331235929e-09, 9.104563325479376e-09, 0.0, 8.028463449605283e-10, 7.655540645856718e-10, 5.240885911916848e-07, 7.203325935734028e-07, 0.0034908668603748083, 0.001258611911907792, 8.433154619069683e-09, 1.5097169736577598e-08, 0.346834272146225, 0.2549816966056824, 0.19984064996242523, 0.19359247386455536, 8.959192854263165e-08, 2.47494753580213e-08, 4.0802922152138876e-10, 8.585253619131095e-10]]",ZeD,False,21.553765086125527,36.20979805887371
10,Bob,Zy,[35],"[[6.413907165797594e-12, 3.5599904101013546e-12, 0.00029801714117638767, 0.001794962678104639, 1.52020390942198e-07, 0.0007378450245596468, 0.00029801714117638767, 1.7757164824921262e-14, 1.1999525281562989e-14, 5.6077643478249714e-14, 2.401012114822132e-12, 6.50511537969578e-08, 1.284261867857961e-13, 5.6077643478249714e-14, 0.25717660784721375, 0.3213309943675995, 0.0, 0.20556102693080902, 0.21200333535671234, 2.7765137744495405e-08, 6.033370425484463e-08, 6.90507984124622e-10, 1.7929623341572665e-09, 0.0005378570058383048, 0.00026067544240504503, 1.3409297543870435e-12, 3.919830605936259e-12, 7.388148315357057e-09, 2.987350100625008e-08, 4.241278994676634e-10, 4.4251971531572565e-10, 8.546829910471843e-09, 1.4879732113115551e-08]]",By,False,21.553765086125527,36.20979805887371
10,Bob,MBe,[59],"[[1.7477625249839868e-11, 2.6822866844300464e-11, 0.20793500542640686, 0.34811273217201233, 2.147871602797835e-10, 0.23000991344451904, 0.20793500542640686, 3.5756829355054753e-12, 2.837340822361978e-12, 0.00014698668383061886, 0.0007195263169705868, 4.3537418115136006e-10, 0.000377950316760689, 0.00014698668383061886, 0.0025122894439846277, 0.0007377254078164697, 0.0, 0.0004605521389748901, 0.0008952395291998982, 7.903824122967862e-11, 2.2832684354323618e-10, 4.736492773514678e-13, 9.581182418630374e-13, 7.109963462426094e-06, 3.0270905426732497e-06, 2.0170468756613297e-13, 7.835400622595301e-13, 2.849191715892374e-11, 9.237034748199591e-11, 2.313897988145963e-12, 6.6503287252106524e-12, 2.9278851565450736e-10, 5.205928466089915e-10]]",MBy,False,21.553765086125527,36.20979805887371
10,Bob,FZe,[36],"[[2.409089095746497e-13, 5.036885622131115e-13, 0.00041567161679267883, 0.0005154482205398381, 7.674643662551259e-15, 0.000228919496294111, 0.00041567161679267883, 9.266371307423138e-13, 1.01450044111967e-12, 0.25394707918167114, 0.24748404324054718, 1.7572394751873104e-14, 0.2430460900068283, 0.25394707918167114, 1.9669926132337423e-08, 1.6159706905938265e-09, 0.0, 4.726951607914032e-10, 1.6473086228430134e-09, 2.3472227939548443e-16, 8.094386075002799e-16, 2.263327952472899e-17, 3.0685561841855045e-17, 5.255209462040611e-11, 2.4356905381495153e-11, 2.5646501693448332e-15, 7.564398089301375e-15, 6.187721792876065e-15, 1.2725352896262882e-14, 3.7717116517980463e-17, 1.622267940827978e-16, 1.8455577371250323e-15, 3.602127463360949e-15]]",FZy,False,21.553765086125527,36.20979805887371
